,id,text,category
0,1539382153011666948,@SCOTUSblog Hail Satan! Fund the church of Satan. Fund atheists! #satan #religion #politics #christian #inflation #rightwing #tainted #irritated #chaffed #burning #itching #sensation #human #abortion why not forced kidney donations how can inalienable right to ones body  be separated o’them?,politics
1,1539378466759577600,"Give me back the early 2000s when we were optimistic about the future, any day of the week! We also weren't split and squabbling like we are today. 

What happened to our dreams? #EnergyCrisis #inflation #COVID19 #RMTstrikes #GasCrisis #FuelPrices #wagegap #politics #democracy",politics
2,1539376505301651457,Hollywood is not helping. Please learn to get out of these political emotion inducing situations. The only way for us to thrive is for Democrats and Republicans to find some common ground and it doesn’t help with celebrities and there dumb tweets. #Politics #Democrats #Republican,politics
3,1539363228584660993,The 2 women election workers should file a HUGE lawsuit against guiliani. He ruined their lives as they were living them and they need the means to reconstruct a new one. #lies #politics #guiliani #trump #elections #Georgia,politics
4,1539362150870880259,"I don't #believe the #spheres or #planets or #marbles are interested in your #politics, #goverment, #Republican, #Democrat..#Putin ,#China , #northkorea.. #God has #Corruption #written in their #Children ..",politics
5,1539348178943848457,"Useful #domainsforsale:
𝘃𝗼𝘁𝗲𝘀.𝘄𝗼𝗿𝗸
𝘃𝗼𝘁𝗶𝗻𝗴.𝘄𝗼𝗿𝗸
𝗰𝗮𝗺𝗽𝗮𝗶𝗴𝗻𝗶𝗻𝗴.𝘄𝗼𝗿𝗸
𝗰𝗮𝗺𝗽𝗮𝗶𝗴𝗻𝘀.𝘄𝗼𝗿𝗸
.. because they do (Say them aloud)

Let's negotiate. PS: We LOVE bonuses 🥰
#ads #votes #voting #campaigning #campaigns #politics #political #elections",politics
6,1539342840987279362,Which means they are less likely to be influenced by outside forces and can truly represent the people. #Politics #progress #representation,politics
7,1539338513048535040,"Do you believe the World Economic Forum #WEF acts in the interests of humanity as a whole or their own elitist interests disguised as pro-humanity?

#Economy #Business #Education #Books #Politics #HumanRights #USA #Africa #Europe #UK #Bitcoin #BTC #News #NASDAQ #Stocks #trending",politics
8,1539337549906337793,"On #YouTube, the top #News &amp; #Politics videos for 2022/06/21@12:00 are from:
1. Fox News
2. LastWeekTonight
3. Late Night with Seth Meyers
4. Jimmy Kimmel Live
5. The Late Show with Stephen Colbert
6. The Daily Show with Trevor Noah
7. Sky News Australia
8. PBS NewsHour",politics
9,1539335003867385857,#DonaldTrump defamed the character of a mother &amp; daughter #election workers from #Atlanta. #Trump should be prosecuted for what he did to them. Trump is simply evil #politics #news #republicans #Democrats #elections,politics
10,id,text,category
11,1539331337097822210,"I've been deeply disturbed by the #january6th committee hearing today

There's a clear and present danger that we could be living in the last generation of American #democracy

#politics #history",politics
12,1539304144158265347,Laws can impact our rights and our liberties in society. #law #order #rights #equality #equity #change #politics #vote #elections,politics
13,1539304086989811714,"‘member how #USA almost had @BernieSanders 🥰🥰🥰 #politics 

but, we’re 70% #capitalism n Pro-#war, so now #PlanetEarth b dyinggg 

💀💀💀💀💀💀💀💀💀💀💀💀
(#toxic) 🤮",politics
14,1539303645421785088,"WiLL #USA ever accept how both #Biden n #Trump R baaad choices - FOR THE PEOPLE 💀💀💀 

#Politics 🇺🇸💀",politics
15,1539299815741214721,#Bitcoin is true #democracy without #Corruption and #Politics.,politics
16,1539299601760636928,"Been seeing quite a bit of political stuff ramping up, almost like it's a 2024 election or something.. 🤷‍♂️

All I'll say is this, it's been going on too long and it's gone on long enough, keep #politics offline. 🚫

#IMPORTANT #political discussions are best held #live in PERSON..",politics
17,1539298215182229505,"When someone like Trump can talk a percentage of the American electorate that the only way their candidate can lose is through voter fraud, it tears at the fabric of our democracy. Our future democracy depends on people understanding this. #January6Hearings #elections #Politics",politics
18,1539292277532762113,"Stafford Rosenbaum is the proud sponsor of the #ElectionMatters2022 virtual #seminar series, hosted by @UWMadison's #Elections Research Center and the State #Democracy Research Initiative. The next #free #webinar is Thursday, June 30!
#vote #politics",politics
19,1539288168578658310,Greed and the positioning of Power is causing both our Political Party’s to collide similar to the Nationalist against the Bolsheviks. #politics #greed #power #gop #Republicans #Democrats,politics
20,1539273438501691392,"I take from my political career, the wonderful things I learned and experienced. #politics #election #vote #law #change #order #equity #equality #justice",politics
21,1539260416118906883,"#Metaverse #Opinion &amp; #Politics: #Americans do not let #Americans drive Drunk!  All #Americans should not let #Americans #Vote #Democrat as it is no different than driving drunk as both cause severe damage to #Life.

#VoteRedForBetterMentalHealth #VoteRed #USA #Trending #Repost",politics
22,1539259686838579201,"#Metaverse #Opinion &amp; #Politics: 

To start on a path of avoiding increased levels of #BidenExhaustionSyndrome, #Americans whether #Liberal, #Conservative, #Independent, #Moderate, or #NoLabels should #VoteRedToSaveAmerica!!!

#USA #Trending #Repost #VoteRedForABetterAmerica",politics
23,1539259685664182275,"#Metaverse #Opinion &amp; #Politics:

#BidenExhaustionSyndrome compared to #TrumpExhaustionSyndrome is not curable as #BidenExhaustionSyndrome has been known to cause severe damage to #Americans #Pocketbooks, #MentalState, #PreventsJobs, and destroys #FamilyValues.  #USA #Trending",politics
24,1539259684456218631,"#Metaverse #Opinion &amp; #Politics: #BidenExhaustionSyndrome caused by #BidenInflation, #BidenBorderCrisis, #BidenSupplyChainCrisis, #BidenGasPriceHikes, #BidenFoodPriceHikes, #Democrats still attacking #Trump, #LiberalMediaExhaustion. #USA #TRending #Repost",politics
25,1539259682929446912,"#Metaverse #Opinion &amp; #Politics: #TrumpExhaustionSyndrome caused by #Liberals #Russian #Hoax, #Liberal news like @CNN and @MSNBC constantly attacking him.  #Democrat #Politicians constantly fighting working with him. #USA #Trending #Repost",politics
26,1539256796044574721,"#Metaverse #Opinion &amp; #Politics: I once said I have #TrumpExhaustionSyndrome. I stand by that because #MAGA is about #Jobs, #Economy, and a chance for every #Individual #American. I will #Vote #Trump if it is him and #Biden. I have worse #BidenExhaustionSyndrome. #USA #Trending",politics
27,1539245763187953666,#Biden can't have it both ways. #GlobalWarming  can't be a WORLD ENDING THREAT...and then...propose a tax holiday so gasoline is cheaper....in hopes it will move his poll numbers. #Obama was correct in 2008 when he said a gas tax holiday is just a gimmick. #politics #green #DNC,politics
28,1539239274410827776,#Metaverse #Opinion &amp; #Politics: For the first time I started seeing explicit sexual content on @Twitter. I blocked every instance of it and reported one.  Explicit sexual content should not show up in a feed. Teens use twitter. #WhatIsGoingOn @elonmusk? #USA #Trending,politics
29,1539226565468626944,#Balen is a revolution that prompted many to announce independent candidacies in the expected November 2022 general #elections. Balen's recent win was not a swift play or win by chance. Because #politics aren't beanbags—voters can make informed choices and play swaps if needed.,politics
30,1539224197049753600,".
[ 14 ]
.

As follows from data of the FlightRadar flight tracking service, 
these aircraft often fly on the route St. Petersburg - Crimea - Gelendzhik. 

It is there the largest real estate objects associated with Putin are located

.
#Politics, #News, #World, #Russia, #Putin",politics
31,1539223701572435969,".
[ 13 ]
.

Russair assures that it can organize a charter flight 
at any time of the day or night, and 

""the region of flights is the whole world."" 

Some signs indicate that Russair may be related 
to Putin's inner circle. 

.
#Politics, #News, #World, #Russia, #Putin",politics
32,1539223268841881600,".
[ 12 ]
.

Most organizations from the LLCInvest circle do not
conduct any public activity. Russair is a rare exception: 
it even has a website stating that it is a 

“dynamically developing company in the field of air transportation"" 
.
#Politics, #News, #World, #Russia, #Putin",politics
33,1539212242159542272,"The day when #Elections in Pakistan will be held without the support of Army. That will be the day when we can say that the role of #Militiary has been finished from #Politics and Pakistan will become the pure democratic state...

#باجوہ_استعفی_دو",politics
34,1539205468127731712,".
[ 11 ]
.

17% stake in Sibur in 2017 owned by Delta LLC. 

In 2018,  LLC, Ena Invest, a 19% stake in Novatek.

Sibur and Novatek are one of the largest companies in Russia.

Their two new co-owners assets total
 more than 880 billion rubles

.
#Politics, #News, #Russia, #Putin",politics
35,1539204590494679042,".
[ 10 ]
.

Gennady Timchenko, another old comrade of Putin's, 
has also made large investments in companies run by the same director 
- and which are related to LLCInvest. 

.
#Politics, #News, #World, #Russia, #Putin",politics
36,1539203918323916807,".
[ 9 ]
.

This stake likely owned by Putin's friend Arkady Rotenberg, 
who owned Rusgazdobycha through complex network of 
underlay companies in Russia and Cyprus. 

Remaining 49% went to two private investment funds owners are unknown
.
#Politics, #News, #World, #Russia, #Putin",politics
37,1539203339463843840,".
[ 8 ]
.

One of these companies, Altituda Joint-Stock Company, 
received a 51% stake in Rusgazdobycha in 2019 with assets 
worth 25 billion rubles.

.
#Politics, #News, #World, #Russia, #Putin",politics
38,1539203228948045825,"Feel sad for Movies released this Friday, Maharashtra Politics is the one with Highest TRP🔥😂

#rajyasabha #VidhanParishad #EknathShinde #Shivsena #Maharashtra #politics #trending #bjp #power #mlc",politics
39,1539202653582159872,".
[ 7 ]
.

a corruption expert added:

LLCInvest formed around people close to Vladimir Putin 
during his work in St. Petersburg mayor's office in 1990s, organized as a cooperative, whose members probably exchange property and services

.
#Politics, #News, #World, #Russia, #Putin",politics
40,1539202056510119936,".
[ 6 ]
.

a corruption expert
.
“The only explanation that comes to mind is that all these companies 
are united by a common management system”

.
#Politics, #News, #World, #Russia, #Putin",politics
41,1539201613843337218,".
[ 5 ]
.

In addition to palaces and yachts, the LLCInvest circle 
owns assets that appear to act as a kind of vault for 
shares of shares in various businesses. 

.
#Politics, #News, #World, #Russia, #Putin",politics
42,1539201143875813377,".
[ 4 ]
.

Total value of assets they own
about 4.5 billion dollars ( based on annual reports )

Like bank accounts stashed with huge amounts of money, 
mansions, planes, yachts

Another 18 companies registered with ordinary employees

.
#Politics, #News, #World, #Russia, #Putin",politics
43,1539200649245741063,".
[ 3 ]
.

Many of these companies share the same 
auditors, directors, registered offices
Rossiya Bank directly owns some, 
while others are recorded as shareholders of ""Russia”

.
#Politics, #News, #World, #Russia, #Putin",politics
44,1539200215042899974,".
[ 2 ]
.

llcinvest . ru
domain is owned by the Moskomsvyaz company,
associated with Rossiya Bank 

86 companies currently using email on 
llcinvest . ru

.
#Politics, #News, #World, #Russia, #Putin",politics
45,1539197118749020160,".
[ 2 ]
.

Alexander Khodakovsky
commander
Donetsk battalion - Vostok
.
Previously stated that the republic needs re-mobilization, 
as there are not enough people to solve ""rear issues""

.
#Politics, #News, #World, #Russia, #Putin, #Ukraine",politics
46,1539159251855237121,"Does the groundswell of #support for the #RailStrike reflect the latent #Marxism in #politics, #religion, #law, #Whitehall, #academia, #education, #publishing, #drama, #fashion, #music and most of the #media, including @BBCPolitics and @Channel4News? @Oxford_HumSci #TabooQuestion",politics
47,1539156181012385792,@1StrongBlack1 @seagirlrw @JengaNeck @mcbyrne @JoeBiden @POTUS Except it wasn't it's being corrected now sure but what about Long CoVid incidence? #biden #covid #politics #vote @Cyberace1985 @CantamessaLisa,politics
48,1539133822071087104,"If I browse profiles of Politicians, something’ s wrong. 
We follow them, they don’t follow us. 
This, to me, is the representation of a totally distorted concept of democracy. 
#politics #democracy #twitter #tweetsofourtimes",politics
49,1539107230477340672,"@Caitlyn_Jenner Why didn't u insist all the way. This is not a solution but a gateway to dirty competition. What's fair is born male, on the male side, female in females, trans in the trans team. Why we compromising?
#politics #maga #Trending",politics
50,1539100486997090304,"HINT: YOU VOTE GOLOB PV. YOU GET JANŠA`S  APPRENTIECE .

@EUCouncilPress   
#politics  #PoliticsToday  #slovenia #Trending",politics
